state_code,state,congressional_district,year,male_child,male_teen,male_adult,female_child,female_teen,female_adult,Females under 5 years,Females 5 to 9 years,Females 10 to 14 years,Females 15 to 17 years,Females 18 and 19 years,Females 20 years,Females 21 years,Females 22 to 24 years,Females 25 to 29 years,Females 30 to 34 years,Females 35 to 39 years,Females 40 to 44 years,Females 45 to 49 years,Females 50 to 54 years,Females 55 to 59 years,Females 60 and 61 years,Females 62 to 64 years,Females 65 and 66 years,Females 67 to 69 years,Females 70 to 74 years,Females 75 to 79 years,Females 80 to 84 years,Females 85 years and over,Males under 5 years,Males 5 to 9 years,Males 10 to 14 years,Males 15 to 17 years,Males 18 and 19 years,Males 20 years,Males 21 years,Males 22 to 24 years,Males 25 to 29 years,Males 30 to 34 years,Males 35 to 39 years,Males 40 to 44 years,Males 45 to 49 years,Males 50 to 54 years,Males 55 to 59 years,Males 60 and 61 years,Males 62 to 64 years,Males 65 and 66 years,Males 67 to 69 years,Males 70 to 74 years,Males 75 to 79 years,Males 80 to 84 years,Males 85 years and over
06,California,24,2013,50164.0,43309.0,264935.0,48580.0,41352.0,260915.0,20468,20009,20258,12839,16359,8753,8721,17176,21623,20251,18505,20184,22088,24200,23849,8476,11309,7132,8006,12142,10286,7966,10248,21299,20382,21209,13987,16597,9729,10943,19988,25562,23420,20250,21867,22882,23843,22065,8535,11399,6908,7580,10035,7901,5468,6560
06,California,25,2013,65015.0,48952.0,240277.0,60214.0,45448.0,247383.0,22761,26095,28397,17747,10663,5335,4659,13601,21304,20992,23421,26787,28159,27197,21857,7228,9841,5317,6874,8917,5711,4814,5369,25565,27220,30576,18859,11748,6288,6052,14172,22479,21401,21681,26520,28387,26877,21191,7331,8947,5326,5877,7425,4973,2927,2423
06,California,26,2013,59500.0,43850.0,248245.0,58230.0,40604.0,256743.0,23760,24928,23855,15915,10376,5119,4243,14308,22289,21375,21982,24109,25909,26455,22800,7867,11134,6759,8144,10082,8696,7244,8228,24013,24811,26691,16808,11028,5983,5302,15483,24765,22324,22204,23814,24616,25184,21468,8160,9871,6108,7686,8562,6607,5202,4906
06,California,27,2013,46266.0,37171.0,260511.0,43011.0,33965.0,288709.0,16520,18533,19897,13851,8176,5040,4557,12846,24631,23828,23954,27488,27456,28946,25480,9611,12986,7584,8894,13745,10179,9249,12235,18571,19176,21298,15245,9148,4739,5142,14522,23652,22555,22024,26470,25905,26868,24446,8272,10209,6467,7792,10791,8237,6405,6015
06,California,28,2013,39262.0,28233.0,286516.0,37882.0,27309.0,288508.0,16927,14269,16717,10387,6892,3940,4655,15969,32755,28677,27627,26188,26145,25031,23367,8829,10965,6427,8393,12124,9604,8329,9483,16556,16169,16343,11343,7085,4403,5002,14658,34524,32350,29690,28965,28923,25949,22477,7774,10451,5554,7017,10019,7931,6048,4781
06,California,29,2013,62815.0,44405.0,245640.0,59887.0,39791.0,251188.0,25972,24285,24077,15665,9680,6081,5796,17163,27925,27945,25472,25513,23285,22441,19555,6824,7933,5022,5236,8390,6591,4930,5086,26718,25518,26448,16997,11540,5500,6609,16995,31886,28431,25626,26279,23383,23481,18165,6376,7034,4128,5283,6395,4271,2980,2818
06,California,30,2013,51975.0,35440.0,268072.0,48605.0,32278.0,286414.0,20080,20570,19889,12227,8118,4667,5358,14425,26113,25957,27349,27258,27322,27159,24224,9098,11926,6753,9191,12101,9195,8320,9998,22911,20466,21495,13402,9141,4259,4617,14707,27625,27344,25361,28157,27856,24406,21791,8420,10975,6052,7165,9758,7788,6083,5708
06,California,31,2013,67461.0,49167.0,234316.0,63592.0,45607.0,251285.0,26602,25954,27592,17696,11356,6430,5540,17194,26580,26237,24981,23631,24418,23523,19891,7586,8872,5382,6184,7470,6317,5214,5835,28113,27434,29785,18970,12326,7076,5568,16880,27650,25177,23177,22482,23261,22927,18682,6893,7481,4272,5497,6732,4577,3485,2499
06,California,32,2013,57471.0,44996.0,244351.0,56232.0,43933.0,259694.0,23385,22777,25176,16986,11842,6104,6158,15256,25021,23572,23242,24396,25419,24246,22028,7777,10646,5973,7583,10105,8269,6369,7530,23651,23627,25484,17521,12185,6628,5701,17851,26811,24771,23133,24108,24125,22664,19064,6700,9327,5299,6482,8147,5836,4251,3453
06,California,33,2013,42397.0,33241.0,265237.0,43422.0,34925.0,288665.0,17521,18354,18868,11906,11699,5537,5077,14762,25973,24605,24844,27548,28978,27190,23907,8906,12489,8067,9200,12196,9902,9093,10391,16743,18236,18547,11834,10279,4941,5264,12227,24158,23915,23208,24931,27443,26576,25273,8022,10683,7397,8104,10869,8645,6993,6588
