,death
137314,0
8629,0
143208,0
94093,0
139955,1
76010,1
217341,1
209949,0
206571,0
185396,0
216142,0
166124,0
213680,1
236416,0
35660,0
80721,0
192405,0
138230,1
211892,0
20228,0
172551,1
120192,0
174608,0
38801,1
129567,0
221175,0
192177,0
33475,0
112174,0
102682,0
85915,0
12297,0
133715,0
57310,0
211927,0
175713,0
235509,0
229435,0
229346,0
16011,0
135351,0
9418,1
214584,0
169578,0
102067,0
22551,1
64586,0
16854,0
220059,0
209636,0
171267,1
70791,0
100498,0
49743,0
19685,1
27404,0
221725,1
217143,0
61060,1
78466,1
132734,0
121382,0
114621,0
49703,0
134228,0
41825,1
103952,0
155061,1
139524,0
17058,1
86971,0
177687,0
181571,0
50450,0
123008,0
75872,0
89103,0
19109,0
72031,0
216227,0
196996,1
200078,1
182276,0
214044,1
100676,0
61323,1
53499,0
81545,0
118427,1
59411,1
18724,1
120805,1
88793,0
37251,0
189595,0
40390,0
148694,0
11079,0
46460,0
19410,0
38966,0
177500,1
66442,1
55133,0
231477,1
109373,0
133556,0
32936,1
178664,0
227865,0
212931,0
52664,0
202293,0
143058,0
3976,0
61585,1
162488,0
113219,1
78432,1
107222,0
213910,1
203993,0
35811,0
3076,0
200431,1
233497,0
180486,0
7882,0
35387,0
36718,0
173405,0
153793,0
153441,0
44263,1
76480,0
192626,0
77890,0
203121,1
167385,0
210788,0
106507,0
175540,0
195210,1
74498,0
62085,0
31384,0
229463,1
123110,0
22027,0
33154,0
132542,0
4635,0
168793,1
29663,1
199249,0
167250,1
33674,0
143805,0
172716,0
124276,0
136342,0
16268,0
100896,0
19694,1
146812,0
39408,0
184248,0
120161,0
142603,1
33812,0
214365,1
6330,0
74893,0
70618,0
173337,1
237252,0
47625,0
226321,0
224278,1
212140,0
60465,0
95471,1
223835,0
190654,0
127417,1
221883,0
27941,1
229089,0
112886,0
236187,1
130728,1
202702,0
59490,0
4887,0
68629,0
202833,0
37168,0
232378,0
58128,0
35519,1
96605,0
223782,0
112321,0
169169,0
106586,0
136680,0
218062,1
118090,1
88434,0
48448,0
983,1
143097,0
124129,0
22546,0
47260,0
111829,0
213507,0
51002,1
79501,0
125195,0
188647,0
150009,0
160356,1
180834,0
214402,0
38009,1
141886,0
163506,0
137092,0
96842,0
163408,0
231470,1
210715,1
99311,0
123464,0
70212,0
207916,0
170286,1
195429,0
119948,0
187415,1
116652,1
230991,0
188422,1
224146,1
36162,0
129625,0
113184,0
220185,0
99669,0
44480,1
16659,0
62518,0
114801,0
8140,0
102487,1
177583,0
54044,1
14220,0
192000,0
33391,0
13819,1
109187,0
231497,1
182230,0
176803,0
146482,0
2029,0
75040,0
225098,0
39376,1
150709,0
137093,0
35922,0
124738,0
237246,0
111135,0
118670,1
31866,0
186398,0
62644,0
112597,0
213483,0
86400,0
238950,0
80090,0
118830,0
81183,0
153676,0
8249,0
202504,0
108035,0
93438,1
25469,0
210805,0
40982,1
52092,1
72967,0
185897,0
44697,0
49145,0
202707,1
129385,0
95305,1
53597,1
115827,0
409,1
191363,0
238538,0
170166,0
172441,0
46155,1
1087,0
65939,0
166191,1
102169,1
165209,1
106980,0
99679,0
75955,1
113658,1
195703,0
161597,0
83171,0
57479,0
40478,1
4699,0
221588,0
120487,0
135854,0
68213,0
23639,0
212702,0
69072,0
42228,0
181286,1
5269,0
41050,1
116780,0
50443,0
176298,0
67163,1
90971,0
119026,1
153171,0
